                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5785,                 1.5194,                 1.7017,                0.25672,                0.06248,                 0.0407,                0.01068,                0.85021,                  2.444,                0.96347,               0.070135,              0.0033184,              0.0033184
                      2,                0.72035,                 0.9778,                 1.0634,                0.69832,                0.04262,                0.04671,                0.00914,                0.47154,                 2.4655,                0.70841,               0.040052,              0.0065694,              0.0065694
                      3,                0.60539,                0.89243,                 1.0006,                0.08438,                0.06401,                0.05327,                0.01069,                  0.444,                 2.3611,                0.69619,              0.0098874,              0.0097379,              0.0097379
                      4,                0.56566,                0.87067,                0.98469,                0.05603,                0.03248,                0.04389,                0.00757,                0.38542,                  2.296,                0.64601,              0.0096288,              0.0096288,              0.0096288
                      5,                0.51681,                 0.8284,                0.96458,                0.23055,                 0.1775,                0.09579,                0.02361,                0.32406,                 1.5453,                0.62431,               0.009505,               0.009505,               0.009505
                      6,                0.49134,                 0.8056,                0.95442,                0.18544,                0.14471,                0.11278,                0.02349,                0.30808,                 1.6147,                0.61181,              0.0093813,              0.0093813,              0.0093813
                      7,                0.47481,                0.78506,                0.94829,                0.18115,                0.36956,                0.22284,                0.05597,                0.30024,                 1.5638,                0.61958,              0.0092575,              0.0092575,              0.0092575
                      8,                0.47136,                0.77041,                0.94905,                0.20312,                0.13608,                0.09412,                0.02134,                0.29274,                   1.42,                0.60833,              0.0091337,              0.0091337,              0.0091337
                      9,                0.47195,                0.78772,                0.94743,                0.22591,                0.08224,                  0.062,                0.01334,                0.29572,                 1.4499,                0.59142,                0.00901,                0.00901,                0.00901
                     10,                0.45294,                0.75708,                0.93743,                0.30313,                0.46377,                0.31359,                0.07577,                0.26501,                 1.2929,                0.60069,              0.0088863,              0.0088863,              0.0088863
                     11,                0.44293,                0.74489,                0.93479,                 0.3087,                0.50663,                0.30889,                0.07616,                0.22648,                 1.2806,                0.59719,              0.0087625,              0.0087625,              0.0087625
                     12,                0.44806,                0.74931,                0.94027,                  0.251,                0.19705,                0.13178,                0.03067,                 0.2323,                  1.212,                0.59274,              0.0086388,              0.0086388,              0.0086388
                     13,                0.42894,                 0.7355,                0.93217,                0.26452,                0.36601,                0.23394,                0.06071,                  0.246,                 1.2326,                0.59008,               0.008515,               0.008515,               0.008515
                     14,                0.43118,                0.73329,                0.93237,                0.26452,                0.36601,                0.23394,                0.06071,                 5.7947,                    inf,                 2.8974,              0.0083913,              0.0083913,              0.0083913
                     15,                0.41887,                0.72256,                0.92773,                0.24946,                0.34881,                0.23328,                0.05589,                0.21518,                 1.1934,                0.58776,              0.0082675,              0.0082675,              0.0082675
                     16,                0.42972,                0.72551,                0.93233,                0.33935,                0.45886,                0.32673,                0.08324,                0.25166,                 1.5194,                0.60755,              0.0081437,              0.0081437,              0.0081437
                     17,                0.40935,                0.70809,                  0.926,                0.40897,                0.51959,                0.34178,                0.08481,                0.30409,                 1.2538,                0.62092,                0.00802,                0.00802,                0.00802
